time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,E1_J,E2_J,E3_J,E4_J,E5_J,leftEndplate_C,rightEndplate_C
25,0.125,1.56250000091398,-3.54826911516619,10.1384905723019,14.6219020404159,10.1226105978476,-3.58134834044876,0.787359002333084,0.781059514743394,0.782951405320633,0.780109352113736,0.784348859578235,0.0933914470400645,1.65598862207294e-06,1.28655749998657e-07,1.86452062464793e-06,0.0860865738690093,625,625,625,625,622.242527005353,-21.5139650435351,-21.5278821197438
25.5,0.1275,1.62562500091398,-3.19908653047327,10.5717049744552,15.0858626704989,10.5558270231225,-3.23228325536434,0.784962359028153,0.782064022641361,0.783487044717349,0.781047057293323,0.781710980201964,0.0963291328173169,1.00440789633399e-06,7.80336588598583e-08,1.130888952564e-06,0.089148634949049,637.5,637.5,637.5,637.5,634.68737754546,-21.2667115378525,-21.2808881938028
26,0.13,1.69000000091399,-2.85160265547972,11.0000076410186,15.5438608089866,10.9841308145158,-2.88487760735762,0.782460208115999,0.783332348464496,0.783919659569622,0.782291686166209,0.778985977435294,0.0993696850519952,6.09204207039586e-07,4.73298083809056e-08,6.85918848419217e-07,0.0923285510343702,650,650,650,650,647.132228085567,-21.0181796711756,-21.0326135319153
26.5,0.1325,1.75562500218873,-2.50573607282962,11.4236575702562,15.9962087671301,11.4077735199469,-2.53905418795802,0.779842425713851,0.78460604149799,0.784237286569091,0.783685438706512,0.77619041349279,0.102525474664983,3.69501126306699e-07,2.8706987416874e-08,4.16030920538596e-07,0.0955892825235879,662.5,662.5,662.5,662.5,659.577078625675,-20.7684107809486,-20.7830989884008
27,0.135,1.82250000218874,-2.16140090442525,11.8429611913399,16.4432100650865,11.8270171936798,-2.19473403074784,0.777099822345917,0.785591120948149,0.784442431351566,0.78509437417945,0.773328971420404,0.105807035157759,2.24113717941155e-07,1.74116645970788e-08,2.52335459189655e-07,0.0989129425546133,675,675,675,675,672.021929165782,-20.5174444598024,-20.5323837547016
27.5,0.1375,1.89062500218873,-1.81850576490115,12.2582149124657,16.8851649412168,12.242150276712,-1.85183433161728,0.774224221528665,0.786323095283351,0.78454169246882,0.786151842477529,0.770400480541111,0.109222269422671,1.35931847527765e-07,1.0560708911254e-08,1.5304919966259e-07,0.102291465272807,687.5,687.5,687.5,687.5,684.466779705889,-20.2653184960885,-20.280505337513
28,0.14,1.96000000218874,-1.47696251782571,12.6696834887089,17.3223715808017,12.6534835406848,-1.51026538188694,0.771211851226575,0.786853815976068,0.784543535075402,0.78686150466287,0.767401230431149,0.112775482069285,8.24468342717983e-08,6.40539382694126e-09,9.28290332872759e-08,0.105720638964652,700,700,700,700,696.911630245996,-20.0120688697009,-20.0274995123252
28.5,0.1425,2.03062500218874,-1.13686676731464,13.0776003240959,17.7551202403702,13.0612851750724,-1.16993307117377,0.768178107388696,0.787221991060828,0.784456995859828,0.787316190935708,0.764326305775154,0.116452521145675,5.00065334377901e-08,3.88506778825143e-09,5.63036555040921e-08,0.10919727933672,712.5,712.5,712.5,712.5,709.356480786103,-19.7577304864027,-19.7734002611144
29,0.145,2.10250000218874,-0.800798481339143,13.4820431165982,18.1836812160831,13.4657896037339,-0.830744830249955,0.766877581202478,0.787455739414499,0.784290949498966,0.787586315915259,0.761171332532064,0.119673228310465,3.03304960509551e-08,2.35641275767391e-09,3.41498937379344e-08,0.11270841673953,725,725,725,725,721.80133132621,-19.502351181876,-19.5182397735634
29.5,0.1475,2.17562500346601,-0.474833460040713,13.8824784194064,18.6082576097519,13.8672028439199,-0.492676038445666,0.771669043182234,0.787576825354061,0.78405377597966,0.787716066321562,0.75800391727092,0.110883087148833,1.83963788540758e-08,1.42923681778484e-09,2.07129610081982e-08,0.115933717500307,737.5,737.5,737.5,737.5,734.246181866317,-19.2460455709492,-19.2620487438173
30,0.15,2.25000000346601,-0.154354518684954,14.2782981046056,19.0289342122525,14.2656370384087,-0.157155382070698,0.778898895589406,0.787602167736431,0.783753238096373,0.787734408275974,0.755848061163797,0.0751388401192957,1.1157962417938e-08,8.66875539278386e-10,1.25630398451409e-08,0.111849897916012,750,750,750,750,746.691032406424,-18.9889548587921,-19.0048630336087
30.2539126731895,0.151269563365947,2.28824808355846,0.0100350992355516,14.4777496028594,19.2410880058317,14.4667223816427,0.0100000000001046,0.781386482278921,0.787582351771989,0.783578623227274,0.787707870741578,0.756632193756167,0.0586109678259795,8.65589585840247e-09,6.72486962734499e-10,9.7458980788993e-09,0.0980960112988027,756.347816829737,756.347816829737,756.347816829737,756.347816829737,753.010842942588,-18.8581033581916,-18.8739025716068
